run_label,trained_on_half,train_percentage,sampling_method,n_train_samples_actual,n_test_samples_actual,rmse_test_same_half,r2_test_same_half,rmse_train_same_half,r2_train_same_half,rmse_pred_other_half,r2_pred_other_half
trained_on_half_A_lhs_train_25pct,A,0.25,LHS,1080,3820,0.031175496378726703,0.9745471995604114,0.007394245871861849,0.9985456766009319,0.03019009857535562,0.9759960124092806
trained_on_half_A_lhs_train_50pct,A,0.5,LHS,1895,3005,0.022523699484367256,0.9867469932023727,0.009754008185111334,0.997475354132107,0.02217469325551485,0.9870500058189204
trained_on_half_A_lhs_train_75pct,A,0.75,LHS,2530,2370,0.023089411916965497,0.9861274477825187,0.010407328937172763,0.9971265600255467,0.021566335693218898,0.9877508189611065
trained_on_half_B_lhs_train_25pct,B,0.25,LHS,1053,3848,0.02496143906388844,0.9835774906338265,0.007131065226593515,0.9986646258862297,0.02668517654811217,0.981287628159722
trained_on_half_B_lhs_train_50pct,B,0.5,LHS,1891,3010,0.023365492051026174,0.9856677985763772,0.00939321421609538,0.9976639229801921,0.023433783581810193,0.9855697615498271
trained_on_half_B_lhs_train_75pct,B,0.75,LHS,2504,2397,0.023783582066571253,0.9850925731958508,0.011000625776834364,0.9968149816254382,0.023186410160686538,0.9858728125958554
